[ov25] on entry         wptr=00d0e285 rptr=00122b4e go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=12798786
[ov25] after GO=0       wptr=00f0c540 rptr=0074c707 go=0/0 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=13393610
[ov25] after RING_BASE  wptr=00f0c540 rptr=0074c707 go=0/0 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=13393610
[ov25] after GO=1       wptr=000150ce rptr=000150ce go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=13699388
[ov25] pre-capture      wptr=000adb83 rptr=000adb83 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=14988500
[ov25] pre-capture      wptr=00142803 rptr=00142803 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=16244942
[ov25] pre-capture      wptr=001d7367 rptr=001d7367 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=17501450
[ov25] pre-capture      wptr=0026bfd4 rptr=0026bfd4 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=18757958
[ov25] pre-capture      wptr=003006f6 rptr=003006f6 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=20014400
[ov25] pre-capture      wptr=003957b7 rptr=003957b7 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=21270908
[ov25] pre-capture      wptr=0042a0f6 rptr=0042a0f6 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=22527350
[ov25] pre-capture      wptr=004bec60 rptr=004bec60 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=23783858
[ov25] pre-capture      wptr=00553af8 rptr=00553af8 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=25044392
[ov25-json] {"rows": [{"tag": "on entry", "t": 1788994107.9040143, "wptr": 13689477, "rptr": 1190734, "sink_go": 1, "hr_go": 1, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 12798786}, {"tag": "after GO=0", "t": 1788994108.6809845, "wptr": 15779136, "rptr": 7653127, "sink_go": 0, "hr_go": 0, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 13393610}, {"tag": "after RING_BASE", "t": 1788994109.4489574, "wptr": 15779136, "rptr": 7653127, "sink_go": 0, "hr_go": 0, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 13393610}, {"tag": "after GO=1", "t": 1788994109.8549767, "wptr": 86222, "rptr": 86222, "sink_go": 1, "hr_go": 1, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 13699388}, {"tag": "pre-capture", "t": 1788994110.0843353, "wptr": 711555, "rptr": 711555, "sink_go": 1, "hr_go": 1, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 14988500}, {"tag": "pre-capture", "t": 1788994110.3079457, "wptr": 1320963, "rptr": 1320963, "sink_go": 1, "hr_go": 1, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 16244942}, {"tag": "pre-capture", "t": 1788994110.5312114, "wptr": 1930087, "rptr": 1930087, "sink_go": 1, "hr_go": 1, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 17501450}, {"tag": "pre-capture", "t": 1788994110.7548425, "wptr": 2539476, "rptr": 2539476, "sink_go": 1, "hr_go": 1, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 18757958}, {"tag": "pre-capture", "t": 1788994110.9781024, "wptr": 3147510, "rptr": 3147510, "sink_go": 1, "hr_go": 1, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 20014400}, {"tag": "pre-capture", "t": 1788994111.2016494, "wptr": 3758007, "rptr": 3758007, "sink_go": 1, "hr_go": 1, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 21270908}, {"tag": "pre-capture", "t": 1788994111.424876, "wptr": 4366582, "rptr": 4366582, "sink_go": 1, "hr_go": 1, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 22527350}, {"tag": "pre-capture", "t": 1788994111.6483822, "wptr": 4975712, "rptr": 4975712, "sink_go": 1, "hr_go": 1, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 23783858}, {"tag": "pre-capture", "t": 1788994111.8725314, "wptr": 5585656, "rptr": 5585656, "sink_go": 1, "hr_go": 1, "cstream_cfg": 5, "sink_base": 0, "sink_end": 16777216, "hr_base": 0, "hr_end": 16777216, "wrap_count": 0, "rx_bytes": 25044392}], "precapture_bytes": 25056668, "precapture_packets": 379647, "first_byte_at": 1788994107.7221806}
[ov25] after CFG=5      wptr=0056562a rptr=0056562a go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=25191110
