[ov25] on entry         wptr=000cb558 rptr=0032bdf2 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=3263832
[ov25] after GO=0       wptr=001482d2 rptr=004b9fce go=0/0 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=3429720
[ov25] after RING_BASE  wptr=001482d2 rptr=004b9fce go=0/0 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=3429720
[ov25] after GO=1       wptr=0000bef4 rptr=00008588 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=3719196
[ov25] pre-capture      wptr=000abb59 rptr=000abb59 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=5008308
[ov25] pre-capture      wptr=001407d0 rptr=001407d0 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=6264750
[ov25] pre-capture      wptr=001d5561 rptr=001d5561 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=7521258
[ov25] pre-capture      wptr=00269fb4 rptr=00269fb4 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=8776182
[ov25] pre-capture      wptr=002feb19 rptr=002feb19 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=10034208
[ov25] pre-capture      wptr=0039378a rptr=0039378a go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=11290650
[ov25] pre-capture      wptr=004280d7 rptr=004280d7 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=12547158
[ov25] pre-capture      wptr=004bcf67 rptr=004bcf67 go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=13803666
[ov25] pre-capture      wptr=005519bd rptr=005519bd go=1/1 cfg=5 base=00000000/00000000 end=01000000/01000000 wrap=0 rx=15060108
